id,shopName,location,tel,near,breakfast,lunch,dinner,snack,drink
,喬登的家(滷肉飯),八德路二段10巷45號1樓,02-2752-1656,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,小辣椒,臺北市大安區建國南路一段46號,02-8772-0820,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,鴨麵館,,,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,米客居,台北市建國南路1段44巷3號,,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,醡醬麵大王,台北市建國南路一段38號,02-2776-0630,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,元富小吃店,臺北市建國南路一段36號,02-8772-5252,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,吉丼和食屋,臺北市建國南路一段34號,0912-132-912,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,八德素食坊,台北市中山區建國南路一段14號,02-2752-2799,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,老魏四川担担麵,台北市中山區建國南路一段14號之1,02-1234-5678,建國橋,FALSE,TRUE,TRUE,FALSE,FALSE
,咖食堂,台北市八德路一段82巷9弄13號1樓,02-2396-5252,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,釋道速食賓館,台北市八德路一段82巷9弄4號,02-2394-0289,光華,FALSE,TRUE,FALSE,FALSE,FALSE
,伍柒玖牛肉麵飯館,台北市中正區八德路一段82巷9弄6號,02 2351 9509,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,玖伍牛肉麵,臺北市八德路一段82巷8號,02-2396-0795,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,楊記大餛飩,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,光華垃圾麵,台北市中正區八德路一段82巷9弄14號,939285577,光華,FALSE,TRUE,FALSE,FALSE,FALSE
,麵足飯飽,台北市八德路一段82巷9弄14號,02-2358-3006,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,老德記手工拉麵店,台北市八德路一段82巷9弄3號,02-2351-0929,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,銀記手擀刀切牛肉麵,台北市中正區八德路一段82巷9弄15號,02-2351-5575,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,八方雲集鍋貼水餃專賣店,台北市中正區八德路一段82巷9弄12號,02-2351-0810,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,嘉義火雞肉飯,台北市中山區八德路一段82巷9弄9號,02-2394-0813,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,榮華燒臘,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,佐賀丼飯,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,人人素食麵館,台北市八德路一段82巷9弄19號,02-2341-3365,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,喬喜快餐,,02-2396-3554,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,嵐迪義大利麵,台北市八德路一段82巷9弄1號,02-2396-4110,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,I’m Pasta,臺北市八德路一段82巷9弄7號,02-2395-6767,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,光華紅豆餅,台北市中正區八德路一段84號旁邊巷子口,0919-023-027,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,轟炸雞排,台北市中正區忠孝東路121巷內,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,阿姨碳烤三明治,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,水煎包 ,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,漢堡王,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,滷味 95對面,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,三創地下一樓,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,光華新天地一樓,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,光華飯包50元便當,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,芯園甜品屋,,,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,大福燒,臨沂街3巷13號,02-2341-1677,光華,FALSE,TRUE,FALSE,FALSE,FALSE
,日式桃子燒,台北市中正區八德路一段82巷路口,0939-686-409,,FALSE,FALSE,TRUE,FALSE,FALSE
,關東煮,臺北市中正區八德路一段43巷2號,02-3393-1243,光華,FALSE,TRUE,TRUE,FALSE,FALSE
,COME BUY 乾杯,台北市市民大道三段8號1樓,02-2341-8563,光華,FALSE,FALSE,FALSE,FALSE,TRUE
,素還真,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,自助餐,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,蔥油餅,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,滷味,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,燒臘,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,海音咖啡,,,六教,FALSE,TRUE,TRUE,FALSE,FALSE
,元味便當,八德路二段10巷,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,黑豆花,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,五味小火鍋,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,早餐店*3,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,清心,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,鍋燒麵+手卷,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,擔擔麵,,,學校後面,FALSE,TRUE,TRUE,FALSE,FALSE
,甘泉魚麵,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,留蘭香,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,麥當勞,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,麵太郎居酒屋,台北市濟南路二段48巷3號1樓,02-2327-9059,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,台南意麵,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,小四川,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,陳記燒臘,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,港式炒飯,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,三鱻食堂,台北市大安區忠孝東路二段134巷28號,02-2391-3773,忠孝東路,FALSE,TRUE,TRUE,FALSE,FALSE
,飯飯之bear,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,七十二牛肉麵,台北市中正區濟南路二段71號,02-23934095,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,米粉湯,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,溫州大餛飩,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,濟南牛肉麵,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,Subway,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,小川咖哩,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,香港明豪(小廚),,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,森本家,,,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,江浙福園小館,台北市濟南路三段67號,02-2721-5790,濟南路,FALSE,TRUE,TRUE,FALSE,FALSE
,cama 現烘咖啡專門店,台北市中正區新生南路一段90號,02-3322-4588,濟南路,FALSE,FALSE,FALSE,FALSE,TRUE
,Starbucks統一星巴克,台北市中正區忠孝東路二段134巷2號,02-2395-7870,忠孝東路,FALSE,FALSE,FALSE,FALSE,TRUE
,來來小吃店,台北市新生南路一段103巷1-1號,02-2781-5327,新生南路,FALSE,TRUE,TRUE,FALSE,FALSE
,PIZZA HUT必勝客,台北市中正區新生南路1段52-1號,02-2322-1688,新生南路,FALSE,TRUE,TRUE,FALSE,FALSE
,林東芳牛肉麵,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大潤發肯德基,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大潤發定食8,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大潤發三商巧福,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,響樂牛排,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大潤發麵包,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大埔鐵板燒,臺北市中山區松江路23號之4,02-2506-9686,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,葫蘆,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,悟饕,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,凱薩牛排西餐,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,大和家拉麵,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
,麵屋輝,,,其他,FALSE,TRUE,TRUE,FALSE,FALSE
